ensembl ,gene ,log2FC,pvalue,padj,cell,timepoint
ENSG00000270332,RP11-82L2.1,-1.133991689,0.01781704,0.28536839,HepG2,early
ENSG00000179523,EIF3J-AS1,-0.929474148,0.01790729,0.285522535,HepG2,early
ENSG00000249042,CTD-2015H6.3,-0.976216942,0.005398408,0.287063325,HuH7,early
ENSG00000232412,RP1-315G1.3,1.37381773,0.018169649,0.287063606,HepG2,early
ENSG00000258913,RP11-260M19.2,-2.354171872,0.001673672,0.287194516,HepG2,late
ENSG00000260464,RP4-561L24.3,-1.41388096,0.018629792,0.289362877,HepG2,early
ENSG00000224189,HOXD-AS1,-0.622154145,0.00198045,0.289606597,HuH7,mid
ENSG00000240401,AC012358.8,-1.118545665,0.018864814,0.289731722,HepG2,early
ENSG00000247844,CCAT1,-1.272549878,0.01878714,0.289731722,HepG2,early
ENSG00000260876,RP11-345M22.1,-1.479514625,0.018770661,0.289731722,HepG2,early
ENSG00000260876,RP11-345M22.1,-1.479514625,0.018770661,0.289731722,HepG2,early
ENSG00000226453,RP11-379B8.1,-1.084022362,0.018918399,0.289896713,HepG2,early
ENSG00000253477,RP11-1C8.4,1.461371056,0.019410839,0.291859631,HepG2,early
ENSG00000224057,EGFR-AS1,1.109392244,0.007540941,0.293558065,HepG2,mid
ENSG00000250061,RP11-541P9.3,-1.430151343,0.020047624,0.294669577,HepG2,early
ENSG00000224189,HOXD-AS1,-0.620305166,0.007840665,0.296396805,HepG2,mid
ENSG00000233559,AC016831.7,-1.238659203,0.020230185,0.296532661,HepG2,early
ENSG00000258603,RP3-414A15.10,-1.531633573,0.020404083,0.29718149,HepG2,early
ENSG00000260805,RP11-61J19.4,-1.395169578,0.020753539,0.297978388,HepG2,early
ENSG00000269386,RAB11B-AS1,-0.961721478,0.008168229,0.298702586,HepG2,mid
ENSG00000260448,RP11-449H11.1,-0.903324703,0.006044787,0.30247118,HuH7,early
ENSG00000233766,AC098617.1,-1.049443003,0.021424428,0.303165646,HepG2,early
ENSG00000266402,SNORA76,0.922787538,0.021483857,0.303366856,HepG2,early
ENSG00000272425,RP11-363E6.4,-1.543995796,0.021495411,0.303366856,HepG2,early
ENSG00000257596,RP11-968A15.2,1.240210952,0.021544826,0.303455084,HepG2,early
ENSG00000237461,RP11-554F20.1,1.291416958,0.021978445,0.305114215,HepG2,early
ENSG00000229931,RP1-151F17.1,-1.312402452,0.022185591,0.306115895,HepG2,early
ENSG00000237658,RP5-968D22.3,-0.962777777,0.006174151,0.306234284,HuH7,early
ENSG00000229055,AC034110.1,1.361129882,0.022348094,0.307337874,HepG2,early
ENSG00000245534,RP11-219B17.1,-1.387627466,0.022441842,0.307871619,HepG2,early
ENSG00000259974,LINC00261,-0.809909985,0.022851312,0.30994371,HepG2,early
ENSG00000204380,AC005042.4,1.284822515,0.023001979,0.310955821,HepG2,early
ENSG00000269131,AC004447.2,1.240426401,0.023028294,0.310955821,HepG2,early
ENSG00000233483,CTD-2020K17.4,-1.099600286,0.0091461,0.311080463,HepG2,mid
ENSG00000258314,CTD-2314B22.1,1.248715814,0.009050274,0.311080463,HepG2,mid
ENSG00000255320,RP11-755F10.1,-0.849570687,0.006459672,0.311334051,HuH7,early
ENSG00000271826,RP1-93I3.1,-1.516910615,0.023552658,0.314835348,HepG2,early
ENSG00000236810,RP5-886K2.3,-1.024704139,0.006593388,0.31505249,HuH7,early
ENSG00000263443,RP11-973F15.2,1.404191143,0.023692384,0.316305228,HepG2,early
ENSG00000244625,CTA-211A9.5,1.036029333,0.023814952,0.316788822,HepG2,early
ENSG00000244464,RP11-201E8.1,1.279592149,0.024141218,0.319090457,HepG2,early
ENSG00000223991,AC104809.2,1.429504227,0.024269955,0.319495636,HepG2,early
ENSG00000233912,AC026202.3,-1.451604832,0.024381953,0.319495636,HepG2,early
ENSG00000263280,LA16c-325D7.2,-1.594935121,0.024394928,0.319495636,HepG2,early
ENSG00000269131,AC004447.2,1.017123661,0.006829525,0.320895886,HuH7,early
ENSG00000248115,RP11-752D24.2,-1.293767974,0.02473196,0.321132376,HepG2,early
ENSG00000224063,AC007319.1,0.97192349,0.00207783,0.321995101,HepG2,late
